epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,49,,0.125,,2.281186103820801
0,78,0.14000000059604645,,2.2901382446289062,
1,99,,0.15625,,2.2575182914733887
1,149,,0.25,,2.225381374359131
1,157,0.19599999487400055,,2.2446253299713135,
2,199,,0.15625,,2.2246391773223877
2,236,0.2451999932527542,,2.1939775943756104,
3,249,,0.15625,,2.1723177433013916
3,299,,0.21875,,2.1021575927734375
3,315,0.2476000040769577,,2.1351613998413086,
4,349,,0.125,,2.106562376022339
4,394,0.2759999930858612,,2.0739896297454834,
5,399,,0.28125,,2.124488115310669
5,449,,0.1875,,2.236284017562866
5,473,0.3068000078201294,,2.0129523277282715,
6,499,,0.4375,,1.8577800989151
6,549,,0.3125,,1.9426438808441162
6,552,0.31439998745918274,,1.9642728567123413,
7,599,,0.28125,,1.8502423763275146
7,631,0.3328000009059906,,1.9213632345199585,
8,649,,0.1875,,2.021359920501709
8,699,,0.375,,1.9418096542358398
8,710,0.3467999994754791,,1.8744324445724487,
9,749,,0.40625,,1.7866791486740112
9,789,0.36160001158714294,,1.8425482511520386,
